DATE,DTWEXBGS_PCH
2011-01-01,-52.93499
2011-04-01,75.70313
2011-07-01,-130.90106
2011-10-01,422.46915
2012-01-01,-117.34117
2012-04-01,-353.73691
2012-07-01,-102.53799
2012-10-01,2900.12626
2013-01-01,-142.15100
2013-04-01,84.41915
2013-07-01,6.53474
2013-10-01,-152.59476
2014-01-01,-342.10738
2014-04-01,-147.65696
2014-07-01,-236.36161
2014-10-01,392.83616
2015-01-01,28.83098
2015-04-01,-91.98892
2015-07-01,589.04697
2015-10-01,-50.78136
2016-01-01,13.63243
2016-04-01,-223.78033
2016-07-01,-143.18113
2016-10-01,232.33685
2017-01-01,-84.75366
2017-04-01,-523.89280
2017-07-01,58.33060
2017-10-01,-127.07581
2018-01-01,-384.74997
2018-04-01,-190.43499
2018-07-01,12.88772
2018-10-01,-34.14628
2019-01-01,-154.89226
2019-04-01,-177.22862
2019-07-01,18.60815
2019-10-01,-105.79800
2020-01-01,-2292.12928
2020-04-01,200.83777
2020-07-01,-206.08705
2020-10-01,-20.46935
2021-01-01,-53.54322
2021-04-01,-64.83459
2021-07-01,-376.16757
2021-10-01,11.30154
2022-01-01,-69.21009
2022-04-01,562.67265
2022-07-01,28.19259
2022-10-01,-72.93565
2023-01-01,-444.91863
2023-04-01,-82.57037
2023-07-01,-182.23519
2023-10-01,167.90061
2024-01-01,-150.99933
2024-04-01,-304.73866
